name,locality,cuisine,price_per_person,overall_rating,food,service,ambiance,reviews,noise,dining_style,latitude,longitude,url
Kyma - Flatiron,Chelsea,Greek,$$$,4.6,4.6,4.5,4.5,216,Moderate,Casual Elegant,40.7391382,-73.9928051,https://www.kayak.com/New-York-Restaurants-Kyma-Flatiron.100049865.rd.ksp
Coarse NYC,West Village,Farm-to-table,$$$,4.9,4.9,4.9,4.5,42,Moderate,Casual Elegant,40.7391508,-74.0036263,https://www.kayak.com/New-York-Restaurants-Coarse-NYC.101027655.rd.ksp
da Umberto,Chelsea,Italian,$$$,4.7,4.7,4.7,4.6,203,Moderate,Fine Dining,40.7395688,-73.9959132,https://www.kayak.com/New-York-Restaurants-da-Umberto.100001745.rd.ksp
STK - NYC - Meatpacking,Meatpacking District,Steakhouse,$$$,4.3,4.3,4.3,4.2,287,Moderate,Casual Elegant,40.7398062,-74.0072729,https://www.kayak.com/New-York-Restaurants-STK-NYC-Meatpacking.100043031.rd.ksp
Cote NYC,Flatiron District,Steakhouse,$$$,4.6,4.6,4.5,4.5,1291,Moderate,Elegant Dining,40.7410352,-73.9914328,https://www.kayak.com/New-York-Restaurants-Cote.100038867.rd.ksp
Old Homestead Steakhouse- New York City,Chelsea,Steakhouse,$$$,4.3,4.3,4.3,4.1,240,Moderate,Casual Elegant,40.7412674,-74.0049042,https://www.kayak.com/New-York-Restaurants-Old-Homestead-Steakhouse-New-York-City.100038427.rd.ksp
The Clocktower,Flatiron District,English,$$$,4.5,3.5,4.4,4.6,259,Moderate,Casual Elegant,40.741295,-73.987368,https://www.kayak.com/New-York-Restaurants-The-Clocktower.101007935.rd.ksp
Upland,Flatiron District,Contemporary American,$$$,4.6,4.6,4.4,4.6,22889,Moderate,Casual Elegant,40.7418061,-73.9846404,https://www.kayak.com/New-York-Restaurants-Upland.100051696.rd.ksp
Morimoto New York,Chelsea,Japanese,$$$,4.4,4.4,4.3,4.4,28230,Moderate,Fine Dining,40.7430661,-74.007174,https://www.kayak.com/New-York-Restaurants-Morimoto-New-York.100016131.rd.ksp
L’ATELIER de Joël Robuchon,Chelsea,Contemporary French,$$$,4.8,4.8,4.8,4.7,3033,Moderate,Fine Dining,40.7431114,-74.0078356,https://www.kayak.com/New-York-Restaurants-LATELIER-de-Joel-Robuchon.100042818.rd.ksp
Dons Bogam Black,Midtown,Korean,$$$,4.4,4.5,4.4,4.3,145,Moderate,Casual Elegant,40.7459698,-73.9869095,https://www.kayak.com/New-York-Restaurants-Dons-Bogam-Black.100041629.rd.ksp
Wolfgang's Steak House - 54th Street,Midtown,Steakhouse,$$$,4.6,4.6,4.7,4.4,155,Moderate,Elegant Dining,40.7466662,-73.9819629,https://www.kayak.com/New-York-Restaurants-Wolfgang-s-Steak-House-54th-Street.100014762.rd.ksp
